Nr platnika;Nr punktu poboru energii;Rodzaj energii;Data i godzina;Strefa;Wartosc[kWh/kvar];Kompletno¶æ[%]
xxx;PPE:xxx;energia czynna oddana;2022-07-11 07:00;Ca³a doba;0,112;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 08:00;Ca³a doba;0,342;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 09:00;Ca³a doba;0,373;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 10:00;Ca³a doba;0,976;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 11:00;Ca³a doba;1,515;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 12:00;Ca³a doba;1,543;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 13:00;Ca³a doba;1,771;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 14:00;Ca³a doba;1,522;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 15:00;Ca³a doba;0,775;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 16:00;Ca³a doba;1,454;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 17:00;Ca³a doba;0,900;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 18:00;Ca³a doba;0,413;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 19:00;Ca³a doba;0,192;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 20:00;Ca³a doba;0,004;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 06:00;Ca³a doba;0,032;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 07:00;Ca³a doba;0,138;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 08:00;Ca³a doba;0,299;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 09:00;Ca³a doba;0,642;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 10:00;Ca³a doba;1,351;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 11:00;Ca³a doba;1,374;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 12:00;Ca³a doba;1,799;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 13:00;Ca³a doba;0,680;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 14:00;Ca³a doba;0,973;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 15:00;Ca³a doba;1,965;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 16:00;Ca³a doba;1,496;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 17:00;Ca³a doba;1,287;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 18:00;Ca³a doba;0,592;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 19:00;Ca³a doba;0,047;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 20:00;Ca³a doba;0,005;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-12 22:00;Ca³a doba;0,000;100,00
